Mach,Alpha,CD,CD power off,Cd power on,CA power off,CaA power on,CL,CN,CN Potential,CN Viscous,CNalpha(0 to 4 deg/ rad),CP,CP(0 to 4 deg),Reynolds Number 
2.5,0,0.724,0.724,0.666,0.724,0.666,0,0,0,0,12.178,163.631,156.499,"319,532,300"
2.51,0,0.722,0.722,0.664,0.722,0.664,0,0,0,0,12.148,163.499,156.412,"320,810,500"
2.52,0,0.721,0.721,0.663,0.721,0.663,0,0,0,0,12.117,163.367,156.324,"322,088,600"
2.53,0,0.719,0.719,0.661,0.719,0.661,0,0,0,0,12.088,163.235,156.237,"323,366,700"
2.54,0,0.717,0.717,0.66,0.717,0.66,0,0,0,0,12.058,163.102,156.149,"324,644,800"
2.55,0,0.716,0.716,0.659,0.716,0.659,0,0,0,0,12.028,162.969,156.061,"325,923,000"
2.56,0,0.714,0.714,0.657,0.714,0.657,0,0,0,0,11.998,162.836,155.972,"327,201,100"
2.57,0,0.712,0.712,0.656,0.712,0.656,0,0,0,0,11.968,162.703,155.884,"328,479,200"
2.58,0,0.711,0.711,0.655,0.711,0.655,0,0,0,0,11.939,162.57,155.796,"329,757,300"
2.59,0,0.709,0.709,0.653,0.709,0.653,0,0,0,0,11.909,162.436,155.707,"331,035,500"
2.6,0,0.708,0.708,0.652,0.708,0.652,0,0,0,0,11.879,162.302,155.618,"332,313,600"
2.61,0,0.706,0.706,0.651,0.706,0.651,0,0,0,0,11.85,162.168,155.529,"333,591,700"
2.62,0,0.704,0.704,0.649,0.704,0.649,0,0,0,0,11.821,162.034,155.44,"334,869,900"
2.63,0,0.703,0.703,0.648,0.703,0.648,0,0,0,0,11.791,161.9,155.351,"336,148,000"
2.64,0,0.701,0.701,0.647,0.701,0.647,0,0,0,0,11.762,161.765,155.262,"337,426,100"
2.65,0,0.7,0.7,0.645,0.7,0.645,0,0,0,0,11.733,161.631,155.172,"338,704,300"
2.66,0,0.698,0.698,0.644,0.698,0.644,0,0,0,0,11.704,161.496,155.083,"339,982,400"
2.67,0,0.697,0.697,0.643,0.697,0.643,0,0,0,0,11.675,161.361,154.993,"341,260,500"
2.68,0,0.695,0.695,0.642,0.695,0.642,0,0,0,0,11.646,161.226,154.903,"342,538,700"
